,tweet_id,retweet_count,favorite_count
112,870063196459192321,6984,31656
113,869772420881756160,8557,36883
114,869702957897576449,5317,24404
115,869596645499047938,2601,13777
116,869227993411051520,3154,17675
117,868880397819494401,12072,56609
118,868639477480148993,1719,0
119,868622495443632128,4397,23023
120,868552278524837888,1719,8715
121,867900495410671616,3525,21060
122,867774946302451713,6170,29568
123,867421006826221569,2096,13966
124,867072653475098625,99,0
125,867051520902168576,6702,28003
126,866720684873056260,4083,17448
127,866686824827068416,2925,16720
128,866450705531457537,29737,106231
129,866334964761202691,12067,45530
130,866094527597207552,7071,0
131,865718153858494464,4758,22307
132,865359393868664832,4217,23024
133,865006731092295680,6575,24446
134,864873206498414592,7400,28107
135,864279568663928832,2542,12733
136,864197398364647424,7470,26046
137,863907417377173506,3549,17976
138,863553081350529029,3587,13328
139,863471782782697472,2063,0
140,863432100342583297,4504,20748
141,863427515083354112,80,1924
142,863079547188785154,941,7737
143,863062471531167744,2063,7335
144,862831371563274240,4407,16797
145,862722525377298433,3043,14968
146,862457590147678208,4190,17844
147,862096992088072192,19728,64846
148,861383897657036800,9143,31550
149,861288531465048066,3538,14979
150,861005113778896900,3279,14610
151,860981674716409858,1831,0
152,860924035999428608,665,0
153,860563773140209665,1831,6566
154,860524505164394496,4527,20684
155,860276583193509888,3022,16112
156,860184849394610176,5041,14630
157,860177593139703809,26303,0
158,859924526012018688,3538,17151
159,859851578198683649,3027,13613
160,859607811541651456,1350,16411
161,859196978902773760,25920,78679
162,859074603037188101,11808,29744
163,858860390427611136,6981,0
164,858843525470990336,2992,13808
165,858471635011153920,4197,19006
166,858107933456039936,2501,13869
167,857989990357356544,2241,14132
168,857746408056729600,9215,30124
169,857393404942143489,1420,5181
170,857263160327368704,3923,17864
171,857214891891077121,16,199
172,857062103051644929,143,0
173,857029823797047296,3449,16682
174,856543823941562368,2510,14435
175,856526610513747968,1627,10554
176,856288084350160898,15,476
177,856282028240666624,5498,24687
178,855862651834028034,21,298
179,855860136149123072,845,4306
180,855857698524602368,1830,10573
181,855851453814013952,15795,40531
182,855818117272018944,4737,23714
183,855459453768019968,7215,26504
184,855245323840757760,5192,0
185,855138241867124737,36,0
186,854732716440526848,5282,20218
187,854482394044301312,5944,25964
188,854365224396361728,4092,16766
189,854120357044912130,6504,28485
190,854010172552949760,2758,14442
191,853760880890318849,5063,25438
192,853639147608842240,8737,30858
193,853299958564483072,3127,13806
194,852936405516943360,1770,0
195,852912242202992640,1571,8042
196,852672615818899456,1885,13291
197,852553447878664193,3074,14521
198,852311364735569921,8757,29619
199,852226086759018497,5992,17900
200,852189679701164033,1403,10292
201,851591660324737024,3079,14589
